,Country Name,Country Code,2017,2018,2019,2020,2021,2022,mean_gdp
61,East Asia & Pacific (excluding high income),EAP,14876744560573.5,16639892731999.3,17207134431205.9,17487420266794.3,20837352063117.5,21189324409148.3,18039644743806.465
62,Early-demographic dividend,EAR,11335422969863.6,11465084494129.5,11696252034573.3,10909268111328.2,12674194364881.8,14029514129086.9,12018289350643.885
63,East Asia & Pacific,EAS,24324925891393.0,26485229927652.4,27023995393949.0,27144860679483.9,31095572987690.8,30655246030297.7,27788305151744.47
64,Europe & Central Asia (excluding high income),ECA,3118424956384.82,3182909933137.88,3248044237780.69,2990896567052.31,3581677715819.85,4124699980830.46,3374442231834.3345
65,Europe & Central Asia,ECS,21655200512836.2,23193777815580.4,22910270792580.6,22150021659550.1,25153884144575.6,25192037594848.6,23375865419995.25
66,Ecuador,ECU,104295862000.0,107562008000.0,108108009000.0,99291124000.0,106165866000.0,115049476000.0,106745390833.33333
67,"Egypt, Arab Rep.",EGY,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,352477924520.5257
68,Euro area,EMU,12679719055232.6,13698192927474.5,13418360523881.5,13086148411425.1,14570891691511.7,14040893546587.3,13582367692685.451
69,Eritrea,ERI,,,,,,,
70,Spain,ESP,1313245330197.66,1421702715218.01,1394320055129.38,1276962685648.23,1427380681294.55,1397509272054.48,1371853456590.3848
71,Estonia,EST,26924385103.0662,30624720196.2285,31081901909.2151,31370395572.7653,37191166151.98,38100812958.5196,32548896981.96245
72,Ethiopia,ETH,81770886908.5198,84269196152.0333,95912607970.1686,107657734392.446,111261882913.342,126783472501.134,101275963472.94061
73,European Union,EUU,14764668937681.1,15979881686055.6,15692624900173.0,15370461303996.4,17187869517145.9,16641391923811.1,15939483044810.516
74,Fragile and conflict affected situations,FCS,1645540777006.25,1730287221140.22,1826389026348.85,1663072394700.79,1783491556983.2,1892553416324.0,1756889065417.2185
75,Finland,FIN,255647979916.473,275708001767.838,268514916972.544,271886077382.097,296387625263.561,280825957768.484,274828426511.83286
76,Fiji,FJI,5353468387.56019,5581425890.96651,5481692621.61125,4477030179.83128,4296235427.52339,4943248200.0441,5022183451.25612
77,France,FRA,2595151045197.67,2790956878746.61,2728870246705.83,2639008701648.21,2957879759263.52,2782905325624.52,2749128659531.06
78,Faroe Islands,FRO,2980057167.73595,3188601035.1907,3275684065.13139,3248670978.10165,3649878680.22811,,3268578385.27756
79,"Micronesia, Fed. Sts.",FSM,366666800.0,401932300.0,412000000.0,408000000.0,404028900.0,427094119.111317,403287019.8518862
80,Gabon,GAB,14929487495.759,16867326389.8696,16874405460.1964,15314577167.8199,20217946921.2063,21071739227.9428,17545913777.13233
81,United Kingdom,GBR,2683488510504.04,2878152147315.82,2857057847953.02,2704609160088.15,3122480345924.54,3070667732359.21,2886075957357.4634
82,Georgia,GEO,16242647229.7398,17596922469.9152,17470436258.5131,15842922532.7202,18629365612.096,24605375420.0672,18397944920.508583
83,Ghana,GHA,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503,79156409409.8581,72838798787.7066,69680185323.78493
84,Gibraltar,GIB,,,,,,,
85,Guinea,GIN,10324668270.876,11857030366.4598,13442861496.5747,14177835840.8311,16091817842.2348,21227749388.7287,14520327200.950851
86,"Gambia, The",GMB,1504909447.77459,1670671340.37966,1813609679.15313,1812170878.30632,2038414973.57173,2273060863.13981,1852139530.38754
87,Guinea-Bissau,GNB,1350177012.24771,1504630233.68639,1439638410.99593,1431758231.68287,1638517606.88578,1633559092.06611,1499713431.2607985
88,Equatorial Guinea,GNQ,12200913887.6428,13097012124.2261,11364133546.2494,10099157995.5789,12269393392.1579,11813908447.8131,11807419898.9447
89,Greece,GRC,199844406013.533,212049447242.107,205257014892.498,188925995936.803,214873879833.648,219065872466.25,206669436064.1398
90,Grenada,GRD,1125685185.18519,1166514814.81481,1213485185.18519,1043411111.11111,1122800000.0,1256413185.18519,1154718246.9135816
